COG Letter	Occurence in the family	COG Supercategory	COG Category
[X]	0	NO COG ASSOCIATED	No COG associated
[J]	3	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis
[A]	0	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
[K]	2	INFORMATION STORAGE AND PROCESSING	Transcription
[L]	4	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair
[B]	0	INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics
[D]	1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
[Y]	0	CELLULAR PROCESSES AND SIGNALING	Nuclear structure
[V]	0	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms
[T]	0	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms
[M]	10	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis
[N]	3	CELLULAR PROCESSES AND SIGNALING	Cell motility
[Z]	0	CELLULAR PROCESSES AND SIGNALING	Cytoskeleton
[W]	0	CELLULAR PROCESSES AND SIGNALING	Extracellular structures
[U]	1	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport
[O]	2	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones
[C]	17	METABOLISM	Energy production and conversion
[G]	2	METABOLISM	Carbohydrate transport and metabolism
[E]	12	METABOLISM	Amino acid transport and metabolism
[F]	14	METABOLISM	Nucleotide transport and metabolism
[H]	0	METABOLISM	Coenzyme transport and metabolism
[I]	13	METABOLISM	Lipid transport and metabolism
[P]	21	METABOLISM	Inorganic ion transport and metabolism
[Q]	4	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism
[R]	32	POORLY CHARACTERIZED	General function prediction only
[S]	29	POORLY CHARACTERIZED	Function unknown
