Seq Id	COG Supercategory	COG Letter	COG Category	CDD Id	CDD description
OM-RGC.v1.002248391				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002248391	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002248391	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002248391				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002248391	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002248391	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002248391	METABOLISM	[F]	Nucleotide transport and metabolism	223229	Phosphoribosylamine-glycine ligase [Nucleotide transport and metabolism]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002248391	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[R]	General function prediction only	224734	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	226806	Uncharacterized protein [Function unknown]. 
OM-RGC.v1.002248391	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002248391	INFORMATION STORAGE AND PROCESSING	[J]	Translation, ribosomal structure and biogenesis	223126	Ribosomal protein S12 [Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[R]	General function prediction only	224768	Predicted ATPase, PilT family  [General function prediction only]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	226762	Predicted dithiol-disulfide oxidoreductase, DUF899 family [General function prediction only]. 
OM-RGC.v1.002248391	INFORMATION STORAGE AND PROCESSING	[L]	Replication, recombination and repair	223581	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I  [Replication, recombination and repair]. 
OM-RGC.v1.002248391	INFORMATION STORAGE AND PROCESSING	[L]	Replication, recombination and repair	223660	DNA polymerase III, alpha subunit [Replication, recombination and repair]. 
OM-RGC.v1.002248391	CELLULAR PROCESSES AND SIGNALING	[O]	Posttranslational modification, protein turnover, chaperones	226556	Uncharacterized protein, methanogenesis marker protein 3, UPF0288 family [Function unknown]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[R]	General function prediction only	225048	SOS response regulatory protein OraA/RecX, interacts with RecA [Posttranslational modification, protein turnover, chaperones]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	227250	Uncharacterized protein, contains a C-terminal ATPase domain [Function unknown]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	224831	2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family [Coenzyme transport and metabolism]. 
